Country,Date,Doses,Funder,ISO3,NewPipeline,Pipeline,Source_Url,Vaccine,c9
Niger,July,302,400,USA,NER,COVAX/USA,COVAX,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Johnson & Johnson,
Ethiopia,July,1,664,150,USA,ETH,COVAX/USA,COVAX,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Johnson & Johnson,
Zimbabwe,July,1,000,000,Procured,ZWE,Procured,Other,https://www.voanews.com/africa/zimbabwe-receives-covid-19-vaccines-china-amid-fears-third-wave,Sinovac,
Mozambique,July,302,400,USA,MOZ,COVAX/USA,COVAX,https://allafrica.com/stories/202107270225.html,Johnson & Johnson,
Colombia,July,3,500,000,USA,COL,COVAX/USA,COVAX,http://thecitypaperbogota.com/news/colombia-reaches-covid-immunity-among-20-of-population-u-s-donates-3-5m-vaccines/27754,Moderna,
Pakistan,July,3,000,030,USA,PAK,COVAX/USA,COVAX,https://reliefweb.int/report/pakistan/covax-facility-delivers-second-consignment-us-donated-moderna-covid-19-vaccines,Moderna,
Pakistan,May,100,620,USA,PAK,COVAX/USA,COVAX,https://tribune.com.pk/story/2302172/pakistan-receives-first-batch-of-pfizer-vaccine-under-covax,Pfizer/BioNTech,
Myanmar,July,736,000,China,MMR,China,Other,https://www.france24.com/en/live-news/20210722-batch-of-736-000-chinese-vaccines-arrives-in-myanmar,Sinopharm,
Zimbabwe,July,500,000,Procured,ZWE,Procured,Other,https://www.voanews.com/covid-19-pandemic/zimbabwe-receives-covid-19-shots-china,Sinopharm,
Syria,July,150,000,China,SYR,China,Other,http://www.xinhuanet.com/english/2021-07/30/c_1310096456.htm,Sinopharm,
Afghanistan,July,124,800,Sweden,AFG,COVAX/Sweden,COVAX,https://www.gavi.org/news/media-room/first-swedish-doses-delivered-through-covax,AstraZeneca,
